Comparison	gene	log2FC
IFNb_UP_DOWN	CTD-2267D19.3	3.31092122659138
IFNb_UP_DOWN	KRTAP1-5	1.40920852635336
IFNb_UP_DOWN	KRTAP2-3	1.78064622669194
IFNb_UP_DOWN	CNP	1.38017214017958
IFNb_UP_DOWN	DHX58	3.14762350444528
IFNb_UP_DOWN	IFI35	3.39470327829636
IFNb_UP_DOWN	SNX11	1.03761325641736
IFNb_UP_DOWN	TRIM25	1.0645556291118
IFNb_UP_DOWN	LGALS3BP	2.78982469073436
IFNb_UP_DOWN	RNF213	1.95527964106234
IFNb_UP_DOWN	SECTM1	3.470731802476
IFNb_UP_DOWN	ZCCHC2	1.12308006829327
IFNb_UP_DOWN	SAMHD1	3.5401552289414
IFNb_UP_DOWN	ZNFX1	1.70283509949531
IFNb_UP_DOWN	HELZ2	3.39944305651106
IFNb_UP_DOWN	C19orf66	2.32287588307556
IFNb_UP_DOWN	BST2	8.55049815146941
IFNb_UP_DOWN	PTGIR	1.36030555255528
IFNb_UP_DOWN	PRKD2	1.20200731132611
IFNb_UP_DOWN	PLA2G4C	1.02593485604555
IFNb_UP_DOWN	PLEKHA4	1.68055785508146
IFNb_UP_DOWN	IL4I1	3.97150262905289
IFNb_UP_DOWN	ZNF845	1.56704724472457
IFNb_UP_DOWN	USP18	4.70815767985814
IFNb_UP_DOWN	APOL6	1.23399436346478
IFNb_UP_DOWN	APOL3	2.43794446437115
IFNb_UP_DOWN	APOL2	1.84660345753929
IFNb_UP_DOWN	APOL1	2.7022502974041
IFNb_UP_DOWN	H1F0	1.83923475911694
IFNb_UP_DOWN	GTPBP1	1.22337884861616
IFNb_UP_DOWN	APOBEC3F	1.07546263251475
IFNb_UP_DOWN	APOBEC3G	1.25385837015574
IFNb_UP_DOWN	TYMP	2.8275348349782
IFNb_UP_DOWN	ODF3B	3.36289479515288
IFNb_UP_DOWN	KLHDC7B	2.40470651537769
IFNb_UP_DOWN	MX2	6.87585351567014
